Danny Govaerts | Danny Govaerts | DD-MM-YYYY
CAI International | CAI International Inc | YYYY-MM-DD
Kubrechts bv | Kubrechts BVBA | DD/MM/YYYY
Meeus - Brood En Banket | Meeus - Brood En Banket | DD-MM-YYYY
Meyer Antwerp BVBA | Meyer Antwerp BVBA | DD-MM-YYYY
Haeger & Schmidt Logistics | Haeger & Schmidt Logistics GmbH | DD/MM/YYYY
Antwerp Container Terminal NV | Antwerp Container Terminal NV | DD/MM/YY
Plantrent Office BV | Plantrent Office BV | DD/MM/YYYY
AC Facilities BVBA | AC Facilities BVBA | DD-MM-YYYY
Koffie/Cafes F. Rombouts NV | Koffie/Cafes F. Rombouts NV | MM-DD-YYYY
Cape Fear Intermodal, LLC | Cape Fear Intermodal LLC | MM/DD/YYYY
KRAMER CONTAINERS B.V. | KRAMER CONTAINERS B.V. | DD-Mon-YYYY
European Customs Agency NV | ECA Antwerp nv | DD MM YYYY
Mercure Hotel | Mercure Hotel | DD/MM/YYYY
Flagship Logistics Limited | Flagship Logistics LTD. | DD/MM/YYYY
Thornton Spares | Thornton Spares | MM/DD/YY
McAllister Towing of Philadelphia, Inc. | Mcallister Towing | MM/DD/YYYY
Transporeon Gmbh | Transporeon GmbH | YYYY.MM.DD
Danser Container Line BV | Danser Container Line BV | DD.MM.YYYY
Portico Shipping | Portico Shipping Limited | DD-Mon-YYYY
McAllister Towing of Wilmington, Inc. | Mcallister Towing | MM/DD/YYYY
GAC Shipping (USA) Inc. dba GAC North America | GAC North America | DD-Month-YYYY
Hestia NV | Hestia NV | DD-MM-YYYY
De Fruitkorf | De Fruitkorf | DD-MM-YYYY
Interligo NV | Interligo NV | DD-MM-YYYY
MEN T GROUP NV | MEN T GROUP NV | DD Month YYYY
SolentStevedores | Solent Stevedores Limited | DD/MM/YYYY
STEER COMPANY or John A. Steer Co, LLC | John A. Steer | DD-Mon-YY
New Power Soul Club | New Power Soul Club | DD/MM/YYYY
Belfruco NV | Belfruco NV | DD/MM/YY
Wilmington Cape Fear Pilots Association, LLC | Wilmington Cape Fear Pilots | MM/DD/YYYY
Ellerman City Liners Limited | Ellerman City Liners Limited | DD/MM/YYYY
Northern Containers LImited | Northern Containers LTD | YYY-MM-DD
Octa+ Energie N.V. | Octa+ Energie N.V. | DD/MM/YYYY
Dakosy Datenkommunikantionssystem AG | Dakosy Datenkommunikationssystem AG | DD.MM.YYYY
KBC Bank NV | KBC Bank NV | MM-DD-YYYY
North Carolina State Ports Authority | NC State Ports Authority | MM/DD/YYYY
Port of Cork Company | Port Of Cork Company | DD/MM/YYYY
Pla Soft Drinks LTD | Pla Soft Drinks LTD | DD/MM/YYYY
SD WORX SOCIAAL SECRETARIAAT VZW | SD Worx VZW | DD/MM/YYYY
Locallnet LTD | Locallnet LTD | DD/MM/YYYY
Inchcape Shipping Services (UK) | Inchcape Shipping Services UK Ltd | DD Month YYYY
Aurelium | Aurelium | DD-MM-YYYY
SSA Atlantic, LLC. | SSA Atlantic LLC | DD/MM/YYYY
Container-Service Friedrich Tiemann & Sohn | Container-Service Friedrich Tiemann & Sohn | DD.MM.YYYY
SHIPOWNERS PROTECTION FUND vzw | Shipowners Protection Fund | DD/MM/YYYY
Williams Shipping Transport LTD | 1446 Williams Shipping Group (GB) | DD/MM/YYYY
Loodswezen B.V. | Loodswezen B.V. | DD/MM/YYYY
Luminus | Luminus | MM-DD-YYYY
Breanheath Limited | Breanheath Limited | MM/DD/YYYY
Metlife | Metlife | DD/MM/YYYY
Sodexo Belgium NV | Sodexo Belgium NV | DD-MM-YYYY
Customs Made Clearance NV | Customs Made Clearance NV | DD/MM/YYYY
Delaware River Harbor Pilots LLC | Delaware River Harbor Pilots LLC | MM/DD/YYYY
Masterfreight Limited | Masterfreight | DD-MM-YYYY
Peel Property (Investments) LTD | Peel Property (Investments) LTD | DD/MM/YYYY
Johnson Stevens (NI) LTD | Johnson Stevens (NI) Ltd. EUR | DD/MM/YY
Lyreco Belgium NV | Lyreco Belgium NV | DD/MM/YYYY
DocNLoc | Doc N Loc | DD/MM/YY
BCTN Meerhout | 444 BCTN MEERHOUT NV (BE) (Belgium ) | DD-MM-YYYY
Leep Electricity Services LTD | Leep Electricity Services LTD | DD/MM/YYYY
Gielen Containers | Gielen Containers | DD-MM-YYYY
470 DIT Duisburg Intermodal Terminal GMBH (DE) | 470 DIT Duisburg Intermodal Terminal GMBH (DE) | DD.MM.YYYY
GS EVENTS LTD | GS EVENTS LTD | DD/jan/YYYY
Hedin Automotive Kontich | Hedin Automotive Kontich | DD/MM/YYYY
Associated British Ports | Associated British Ports | DD-Mon-YY
KBC Bank NV | KBC Bank NV | DD/MM/YYYY
KBC Autolease NV | KBC Autolease NV | MM-DD-YYYY
Mid-Atlantic Propane Exchange | Mid-Atlantic Propane Exchange LLC | MM/DD/YYYY
SD WORX SOCIAAL SECRETARIAAT VZW | SD WORX SOCIAAL SECRETARIAAT VZW | DD/MM/YYYY
Fideliti Limited | Fideliti Limited | DD/MM/YYYY
Servipark NV | Servipark NV | DD-MM-YYYY
Optimodal Nederland BV (NL) | 1070 Optimodal Nederland BV (NL) | DD-MM-YYYY
